therapist_id,name,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127
1,user_1,0.320691,-0.980195,-1.913707,-0.848809,0.595333,-1.077921,-0.253458,-0.081864,0.046374,0.139512,0.427386,0.095183,-0.275404,-1.781393,0.416381,0.623078,0.764042,-0.413445,0.264996,-1.183864,-0.566419,0.069692,-1.064287,0.231774,0.527980,-0.159415,0.306940,0.548776,0.238829,0.468358,0.742722,0.408393,0.771676,-0.609292,0.300701,-0.298022,-0.179567,0.486435,0.236916,-0.340660,0.057524,1.255021,0.467456,-0.350876,-0.508551,-0.917347,0.020642,-0.038196,-0.351094,0.769291,-0.134662,-0.152081,0.809099,-0.452327,0.022698,0.102063,0.087792,0.308414,-0.372765,-1.388322,-0.314313,-0.734979,-0.867980,1.555196,0.690760,0.709235,0.173126,-0.262031,0.155421,-1.111599,0.847839,-1.203678,-0.229756,-0.864136,0.183938,0.013480,0.403612,1.207879,-0.053616,-0.970919,-0.890344,0.492210,-0.557415,-0.245389,0.431250,-0.722556,0.212646,-0.582221,-1.001051,1.301612,0.384889,-0.072602,-0.702791,0.519974,0.323237,-0.114497,-0.691706,-0.285057,-1.700334,-0.012875,-0.100022,0.499348,1.347267,-0.945923,-0.278413,0.518647,0.155237,-0.289351,-0.478786,-0.178914,-0.117902,1.232449,0.371639,0.568475,0.173233,0.076062,-0.317096,-0.080958,0.132199,0.518209,0.217061,-0.411464,0.680371,0.752359,0.820488,-1.298292,-0.003926,-0.364545
1,user_1,0.835851,-1.119167,-1.189058,-1.271278,0.263336,-1.234645,-0.294763,-0.856509,0.105586,-0.171913,1.111951,-0.529468,-0.534756,-1.832428,0.164433,0.948382,1.295023,-0.332478,-0.331579,-0.855693,-0.044748,-0.196359,-1.574353,-0.649937,1.149800,0.050723,0.195240,0.885550,0.173304,0.397819,0.437231,1.375142,-0.057254,-0.216974,0.314124,0.245215,-0.197218,0.841321,-0.304039,0.185473,0.489889,1.126640,1.056385,-0.460308,-0.879781,-0.750462,0.025025,0.040258,-0.600660,0.395812,-0.115756,-0.920883,0.501433,-0.215434,0.256394,-0.790040,-0.022624,0.107100,-0.007368,-1.510391,0.097950,-0.302998,-1.210025,2.473944,0.817324,1.437258,0.469581,-0.520059,1.211793,-1.132311,0.773654,-1.760751,-0.269744,-0.425621,0.537110,1.075792,0.651342,1.249138,0.141832,-0.890566,-0.599438,0.649052,-1.096227,-0.177759,1.228586,-1.155110,0.289163,-1.153953,-1.404134,2.047433,0.522177,-0.191391,0.151852,0.333439,0.011345,0.780762,-0.509715,0.650721,-1.636806,-0.188762,-0.513014,-0.216668,1.072418,-1.277319,-0.435475,1.021446,-0.058317,0.608430,-0.925911,-0.436160,0.343813,1.189520,0.380543,0.116034,0.134091,0.621214,-0.562222,-0.147753,-0.210189,0.550483,0.971253,-0.623578,0.469493,0.468838,0.877622,-1.323013,-0.454749,-0.560511
1,user_1,0.621627,-1.013643,-1.304734,-0.839666,0.211440,-1.348091,-0.297926,-0.957054,0.203308,0.073506,1.104997,-0.545020,-0.475969,-2.007918,0.160400,1.049585,1.273094,-0.485098,-0.244059,-0.958907,-0.358043,-0.367282,-1.481518,-0.474158,0.970955,0.078179,0.393736,1.170273,0.011553,0.388646,0.544752,1.252532,0.127216,-0.394967,0.205483,0.256691,-0.665880,1.112072,0.266902,0.429655,0.265993,1.267974,0.885330,-0.393959,-0.610422,-0.514123,-0.199024,0.081531,-0.606644,0.204813,-0.104307,-0.577129,0.525417,-0.173737,0.185990,-0.361637,0.168198,0.308126,-0.172309,-1.584572,0.232227,-0.359940,-1.467210,2.296651,0.975440,1.032962,0.484915,-0.640770,0.809229,-1.241364,0.603121,-1.658290,-0.157692,-0.435528,0.556041,1.139106,0.586710,1.535851,0.014034,-0.899297,-0.290801,0.405246,-1.067420,-0.190523,0.867244,-1.382381,0.315764,-1.235983,-1.888190,1.627817,0.599681,-0.162635,0.083554,0.449312,0.028858,0.486366,-0.955660,0.563946,-2.061678,-0.457620,-0.619071,0.097558,0.826582,-1.570058,-0.298188,0.853050,-0.197690,0.288136,-0.950626,-0.527868,0.362865,1.437628,0.143048,0.277208,-0.032373,1.177500,-0.712430,-0.303829,-0.494662,1.093530,0.680013,-0.807827,0.653170,0.518736,1.154397,-1.588728,-0.110068,-0.531637
1,user_1,0.564870,-1.131035,-1.411458,-0.955438,0.199329,-1.432018,-0.342894,-0.925500,0.161038,0.063808,1.253183,-0.542400,-0.324518,-1.982725,0.152117,1.072311,1.280575,-0.526835,-0.301861,-1.000686,-0.350515,-0.364708,-1.336413,-0.388563,1.033629,0.045394,0.482564,1.203124,0.047736,0.208852,0.445938,1.383449,0.304407,-0.435517,0.238210,0.305562,-0.571478,1.154574,0.278529,0.288711,0.288842,1.253364,0.872008,-0.486191,-0.690944,-0.641834,-0.163086,-0.050337,-0.597863,0.328175,-0.149991,-0.685568,0.480509,-0.157932,0.179073,-0.251655,0.087010,0.252937,-0.133423,-1.600260,0.176132,-0.360657,-1.455941,2.190622,0.941801,1.036880,0.479881,-0.525198,0.903623,-1.225161,0.404040,-1.517262,-0.316322,-0.465770,0.490448,1.039979,0.537346,1.285535,0.000722,-1.044809,-0.274110,0.452678,-1.081253,-0.091576,1.036889,-1.304093,0.393613,-1.114103,-1.805801,1.669398,0.615079,-0.230540,0.163819,0.423388,-0.014295,0.587263,-0.935842,0.532538,-2.029711,-0.508255,-0.658952,0.031096,0.983270,-1.675156,-0.272238,0.882724,-0.109365,0.328784,-0.868734,-0.455562,0.447504,1.428582,0.128726,0.309040,-0.024056,1.085326,-0.651553,-0.305299,-0.445317,1.053741,0.667738,-0.705276,0.744370,0.629634,1.220229,-1.578733,-0.110516,-0.503905
1,user_1,0.502933,-1.167937,-1.412546,-0.963220,0.238961,-1.640279,-0.287895,-1.042998,0.198213,0.108844,1.485316,-0.642788,-0.359206,-2.169189,0.237854,1.282678,1.246384,-0.538929,-0.398720,-1.193139,-0.443844,-0.410318,-1.407629,-0.381138,1.050855,0.008492,0.706249,1.213641,-0.040314,0.324683,0.387411,1.440274,0.302640,-0.294426,0.180707,0.390584,-0.568092,1.229451,0.195752,0.313642,0.432040,1.240389,0.848151,-0.339138,-0.762063,-0.706215,-0.049273,-0.261033,-0.532324,0.261826,-0.275705,-0.871466,0.441414,-0.087024,0.153575,-0.339858,0.165297,0.371101,-0.247575,-1.698227,0.188589,-0.404191,-1.596673,2.222014,1.031985,1.022238,0.404862,-0.582653,0.853162,-1.242988,0.438898,-1.560166,-0.344494,-0.420585,0.583691,1.137353,0.565184,1.464641,0.030510,-0.996880,-0.334763,0.412593,-1.107168,-0.138913,1.047686,-1.282171,0.397723,-1.061327,-1.907574,1.688620,0.634727,-0.293709,0.268017,0.424630,0.042931,0.520033,-1.164816,0.580802,-2.073866,-0.587987,-0.712069,0.073129,0.908691,-1.816506,-0.067344,0.977033,-0.182989,0.382417,-0.996232,-0.448370,0.505717,1.466737,0.079191,0.333947,-0.167879,1.223197,-0.668983,-0.547493,-0.583113,1.265445,0.656192,-0.777752,0.732196,0.594737,1.237355,-1.606294,-0.127851,-0.463887
1,user_1,0.439278,-1.317629,-1.531132,-0.758330,0.201918,-1.641766,-0.390899,-1.091997,-0.164304,0.370337,1.171306,-0.506059,-0.297255,-2.173165,0.495781,1.321088,1.689707,-0.402968,-0.497818,-1.253631,-0.346299,-0.714472,-1.358109,-0.700208,1.479377,0.000251,0.612053,1.441186,-0.018488,0.317486,0.545424,1.395961,0.584491,-0.327766,0.281357,0.252241,-0.194858,1.189777,0.057375,0.276070,0.562279,1.414735,0.958512,-0.345997,-0.549877,-0.649715,-0.102856,0.082253,-0.527602,0.145457,-0.230435,-0.833623,0.268691,0.024563,0.426057,-0.242104,0.315658,0.225670,0.119709,-1.663300,0.448342,-0.436100,-1.669466,2.352011,1.078112,1.060744,0.288417,-0.671320,0.831811,-1.401264,0.464904,-1.538678,-0.296826,-0.154568,0.807118,1.137631,0.833733,1.368951,0.311039,-0.875478,-0.551360,0.799532,-1.208423,-0.175039,1.163920,-1.328766,0.435395,-1.212818,-2.044299,2.199334,0.128015,-0.036184,0.379711,0.443513,-0.073495,0.372437,-0.775711,0.864436,-2.284880,-0.381129,-0.600948,-0.265930,0.633239,-1.662796,-0.100955,1.094107,-0.373067,0.276451,-0.872423,-0.172550,0.069274,1.688192,0.199307,-0.029450,-0.082014,0.980532,-0.726034,-0.603629,-0.342245,0.987769,1.166143,-1.027540,0.648863,0.815987,1.165426,-1.394997,0.000928,-0.321769
1,user_1,0.681954,-1.064866,-1.327722,-0.973817,0.110024,-1.499692,-0.337460,-1.088177,0.049493,0.210630,1.314192,-0.623495,-0.521600,-2.103459,0.368662,1.220091,1.621662,-0.377626,-0.336669,-1.134835,-0.379000,-0.604437,-1.323529,-0.618715,1.330813,0.058254,0.606590,1.334902,-0.076446,0.411704,0.500216,1.432635,0.428122,-0.264214,0.238702,0.313291,-0.417002,1.157956,0.091382,0.450852,0.369446,1.171429,0.853435,-0.283182,-0.546679,-0.652468,-0.246195,-0.001438,-0.510741,0.096998,-0.170644,-0.883878,0.335759,-0.023219,0.361792,-0.266264,0.378813,0.274837,-0.138330,-1.741457,0.328113,-0.332197,-1.479492,2.379756,1.072755,1.069408,0.363228,-0.696710,0.819428,-1.241668,0.473286,-1.589426,-0.084115,-0.310774,0.648689,1.126065,0.623208,1.255809,0.203102,-0.877536,-0.325568,0.694467,-1.144402,-0.167212,1.142298,-1.371795,0.299826,-1.249829,-1.899063,2.014121,0.349944,-0.113374,0.248354,0.395716,-0.054161,0.402031,-0.882345,0.775042,-2.298474,-0.519335,-0.587368,-0.161404,0.686802,-1.608817,-0.118208,1.026372,-0.377708,0.343727,-0.845379,-0.393891,0.131563,1.553908,0.155568,0.154482,-0.065070,1.020728,-0.706821,-0.601901,-0.211573,1.047630,1.001848,-0.849687,0.634805,0.609169,1.221587,-1.493392,-0.033632,-0.418177
1,user_1,0.447602,-1.119824,-1.317111,-0.838045,0.059201,-1.350518,-0.368004,-1.123039,-0.091368,0.193935,1.073847,-0.520509,-0.406563,-2.037206,0.376679,1.100543,1.395331,-0.316463,-0.314341,-0.945485,-0.167569,-0.643854,-1.490064,-0.750145,1.033775,-0.061928,0.447106,1.244844,-0.109104,0.542495,0.665206,1.477808,0.565149,-0.327272,0.279403,0.145197,-0.318129,0.867613,0.170042,0.258991,0.523376,1.293394,0.989500,-0.361143,-0.508051,-0.602821,-0.238369,0.245760,-0.673435,0.107084,0.019892,-0.718781,0.363352,-0.032845,0.371397,-0.292223,0.142023,0.261834,-0.097439,-1.724187,0.441462,-0.213354,-1.633739,2.519844,1.048883,1.098315,0.505074,-0.640019,0.844405,-1.196417,0.693221,-1.699140,-0.062193,-0.191864,0.576122,1.201123,0.805599,1.292160,0.122257,-0.857551,-0.345847,0.746769,-1.125913,-0.028318,1.220780,-1.567824,0.395677,-1.230888,-2.078173,1.790991,0.113158,-0.006962,0.178688,0.605635,-0.131592,0.386040,-0.690916,0.801059,-2.288895,-0.452538,-0.688113,-0.246317,0.622131,-1.497127,-0.411970,0.964705,-0.200827,0.254872,-0.808935,-0.179016,-0.011241,1.521861,0.187982,0.013529,-0.167118,1.128604,-0.589610,-0.512858,-0.540104,0.928936,1.014487,-0.839246,0.896139,0.704711,1.285008,-1.524266,-0.088985,-0.242247
1,user_1,0.540534,-1.397774,-1.035928,-1.290806,0.272022,-1.839769,-0.399418,-1.068316,0.087579,0.028115,1.340766,-0.778710,-0.743147,-2.133827,0.255801,1.168378,1.575206,-0.125521,-0.377103,-1.263972,0.023081,-0.693625,-1.508191,-0.733448,1.350209,-0.050898,0.683193,1.073083,-0.154631,0.536286,0.218300,1.739375,0.119618,0.057309,0.278160,0.228887,-0.173774,1.284499,-0.190830,0.180676,0.766296,0.975366,0.979237,-0.054217,-0.913741,-0.615659,-0.113024,-0.193636,-0.649964,0.088022,-0.378465,-1.039259,0.460013,-0.061198,0.574600,-0.731167,0.180612,0.288619,-0.237635,-1.870975,0.323042,-0.169014,-1.736365,2.659417,0.904790,1.398277,0.257293,-0.857601,1.076069,-1.146819,0.674153,-1.824463,-0.210130,-0.272742,0.427806,1.112252,0.609363,1.188348,0.339591,-1.025121,-0.328889,0.534123,-1.126930,-0.054249,1.318171,-1.241834,0.450701,-1.223457,-1.959523,2.132610,0.316386,-0.129107,0.145619,0.404149,0.119583,0.383239,-0.470623,0.743869,-2.014559,-0.474928,-0.693951,-0.155355,0.658056,-1.515089,-0.053342,1.225341,-0.133716,0.327811,-1.076258,-0.341941,0.205167,1.178804,0.385482,0.053791,-0.371930,0.833940,-0.707343,-0.510038,-0.377112,0.813000,0.918011,-0.586422,0.460078,0.534453,0.954329,-1.269425,-0.163092,-0.404368
1,user_1,0.655252,-1.216086,-1.065376,-1.321496,0.395962,-1.841270,-0.468971,-1.010062,0.001308,0.221417,1.416062,-0.607312,-0.751577,-2.116833,0.426369,1.167277,1.746927,0.052951,-0.371866,-1.221993,-0.198461,-0.827437,-1.239953,-0.721140,1.273360,-0.039657,0.645475,1.203630,-0.367276,0.387815,0.302814,1.654062,0.159069,-0.028719,0.273589,0.194254,-0.053237,1.109634,-0.208608,0.251480,0.530670,0.827631,1.102853,-0.003468,-0.691919,-0.647136,-0.151540,-0.209801,-0.469373,0.198725,-0.475430,-1.135370,0.347345,0.035728,0.577727,-0.640033,0.114823,0.356596,-0.195012,-1.908438,0.298823,-0.149957,-1.418396,2.735522,0.895846,1.327680,0.058071,-0.845946,1.237303,-1.168877,0.430451,-1.755852,-0.077943,-0.131568,0.383709,0.954553,0.503877,0.899617,0.434480,-1.116052,-0.275026,0.530332,-1.225748,0.017924,1.317071,-1.369972,0.341470,-1.262081,-1.931914,2.262321,0.124821,-0.147776,0.104723,0.285348,0.056343,0.282069,-0.524047,0.777166,-2.131166,-0.508309,-0.733849,-0.100578,0.680014,-1.532931,0.007148,1.225100,-0.241064,0.248343,-1.144298,-0.465298,0.232983,1.453878,0.346830,0.137222,-0.211082,0.930262,-0.702693,-0.622225,-0.173990,0.930627,0.795316,-0.750352,0.509619,0.630767,0.804538,-1.382607,0.012645,-0.377150
